Part,Table,Key,Key POC,Field,Type (example),Relationship (Table:FK Table),Connectivity (select dropdown),Defining relationship (Select dropdown),Relationship name,Optional tag,Notes,status,date,,Part,Count of Table,Count of Field,POC,,To-do,Task,Example,,Relationship,Connectivity,Defining relationship
PART 5: GROUP,,PFK ? User,Quan,user_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 5: GROUP,,PK,,start_date,DATE,,,,,,moderator history,,,,,,,,,,,,,,,
PART 5: GROUP,Project,PK,,project_id,INT,,,,,,only members of the group have access to project,,,,,,,,,,,,,,,
PART 5: GROUP,,FK ? Group,,group_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 5: GROUP,,,,name,VARCHAR(100),,,,,,,,,,,,,,,,,,,,,
PART 5: GROUP,,,,description,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 5: GROUP,,,,start_date,DATE,,,,,,,,,,,,,,,,,,,,,
PART 5: GROUP,,,,end_date,DATE,,,,,,optional,,,,,,,,,,,,,,,
PART 5: GROUP,ProjectSighting,PFK ? Project,,project_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,bridge table,,,,,,,,,,,,,,,
PART 5: GROUP,,PFK ? Sighting,Quan,sighting_id,INT,Many:1,Optional:Optional,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 6: INJURY,Carer,PK,,carer_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,organisation_name,VARCHAR(100),,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,email,VARCHAR(60),,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,type,VARCHAR(45),,,,,,Vet / shelter / foster / rescue,,,,,,,,,,,,,,,
PART 6: INJURY,,,,vet_registration_number,VARCHAR(100),,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,contact_person_given_name,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,contact_person_family_name,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,address,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,latitude,"DECIMAL(9,6)",,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,longitude,"DECIMAL(9,6)",,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,CarerAnimalType,PFK ? Carer,,carer_id,INT,Many:1,Mandatory:Mandatory,Yes (Dash line),,,bridge table,,,,,,,,,,,,,,,
PART 6: INJURY,,PK,,animal_type,VARCHAR(100),,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,InjuredReport,PK,,report_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,FK ? User,Quan,user_id,INT,Many:1,Optional:Mandatory,No (Normal),,,reporter,,,,,,,,,,,,,,,
PART 6: INJURY,,FK ? Carer,,carer_id,INT,Many:1,Optional:Mandatory,No (Normal),,,nullable (until assigned to carer),,,,,,,,,,,,,,,
PART 6: INJURY,,,,animal_type,VARCHAR(100),,,,,,"40 names/type, generic, don't link to Genius/Species",,,,,,,,,,,,,,,
PART 6: INJURY,,,,species_name,VARCHAR(100),,,,,,optional,,,,,,,,,,,,,,,
PART 6: INJURY,,,,status,VARCHAR(45),,,,,,dead / alive / unclear,,,,,,,,,,,,,,,
PART 6: INJURY,,,,description,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,report_datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,latitude,"DECIMAL(9,6)",,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,longitude,"DECIMAL(9,6)",,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,ReportPhoto,PFK ? Photo,Quan,report_photo_id,INT,,,,,,separate table due to multiple photos,,,,,,,,,,,,,,,
PART 6: INJURY,,FK ? InjuredReport,,report_id,INT,Many:1,Optional:Mandatory,No (Normal),,,max 3 photos / report,,,,,,,,,,,,,,,
PART 6: INJURY,TreatmentHistory,PK,,datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 6: INJURY,,PFK ? InjuredReport,,report_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 6: INJURY,,,,comment,TEXT,,,,,,optional,,,,,,,,,,,,,,,
PART 6: INJURY,RecoveringPhoto,PFK ? Photo,Quan,recovering_photo_id,INT,,,,,,separate table due to multiple photos,,,,,,,,,,,,,,,
PART 6: INJURY,,FK ? InjuredReport,,report_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,Program,PK,,program_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,program_title,VARCHAR(150),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,description,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,start_date,DATE,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,end_date,DATE,,,,,,optional,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,comment,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,Activity,PK,,activity_id,INT,,,,,,"generated by system, not unique. within each program as 1,2,3..",,,,,,,,,,,,,,,
PART 7: EDUCATION,,PFK ? Program,Within,program_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,FK ? Staff,Kevin,staff_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,activity_title,VARCHAR(150),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,description,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,start_date,DATE,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,expected_completion,DATE,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,actual_completion,DATE,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,Campaign,PK,,campaign_id,INT,,,,,,,,,,,,,,,,,,,,,
